epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,294.735,0.98965,0.45905,1.10754,0.99851,0.98148,0.99482,0.68633,1.15346,0.45096,1.22519,0.001783,0.001783,0.001783
85,298.242,0.97402,0.44412,1.08901,0.99836,0.98148,0.99482,0.69842,1.13762,0.45413,1.22822,0.001684,0.001684,0.001684
86,301.694,0.98529,0.44691,1.08378,0.99819,0.98148,0.99464,0.70175,1.14261,0.45018,1.23711,0.001585,0.001585,0.001585
87,305.153,0.97355,0.43477,1.09095,0.99801,0.98148,0.99447,0.7053,1.1325,0.45638,1.22683,0.001486,0.001486,0.001486
88,308.647,0.982,0.45088,1.09972,0.99775,0.98148,0.99415,0.68581,1.15723,0.44968,1.23772,0.001387,0.001387,0.001387
89,312.107,0.97961,0.43685,1.09456,0.98178,0.9981,0.99482,0.69399,1.19342,0.46158,1.24559,0.001288,0.001288,0.001288
90,315.573,0.98708,0.43918,1.10258,0.9818,0.99912,0.99482,0.71936,1.13084,0.4376,1.22249,0.001189,0.001189,0.001189
91,321.702,0.95245,0.44434,1.09175,0.99762,0.98148,0.99482,0.7082,1.13492,0.43175,1.23106,0.00109,0.00109,0.00109
92,325.308,0.96575,0.4308,1.119,0.99819,0.98148,0.99482,0.68635,1.15963,0.42628,1.2394,0.000991,0.000991,0.000991
93,328.756,0.93503,0.41432,1.12208,1,0.9985,0.995,0.67794,1.17734,0.42878,1.25976,0.000892,0.000892,0.000892
94,332.212,0.94297,0.43421,1.11084,1,0.99855,0.995,0.69881,1.14621,0.41965,1.24743,0.000793,0.000793,0.000793
95,335.685,0.93178,0.41127,1.08812,1,0.999,0.995,0.68329,1.14554,0.42268,1.24961,0.000694,0.000694,0.000694
96,339.142,0.91522,0.40578,1.08929,1,0.99879,0.995,0.69355,1.16183,0.4295,1.25794,0.000595,0.000595,0.000595
97,342.55,0.91991,0.41543,1.0968,1,0.99844,0.995,0.70359,1.15775,0.42434,1.25716,0.000496,0.000496,0.000496
98,345.993,0.90569,0.40541,1.08855,1,0.99817,0.995,0.71286,1.1287,0.41567,1.24501,0.000397,0.000397,0.000397
99,349.465,0.90101,0.39976,1.08585,0.99835,0.98148,0.99482,0.70869,1.1267,0.41727,1.24228,0.000298,0.000298,0.000298
100,352.948,0.88425,0.39276,1.06928,0.99826,0.98148,0.99482,0.70699,1.13642,0.41848,1.24618,0.000199,0.000199,0.000199
