epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,340.725,1.14927,0.68302,1.18226,0.92839,0.90909,0.93673,0.60996,1.23989,0.63992,1.29905,0.002377,0.002377,0.002377
79,345.064,1.18262,0.67092,1.20724,0.95222,0.90599,0.93826,0.61349,1.27537,0.61506,1.31172,0.002278,0.002278,0.002278
80,349.388,1.18363,0.66138,1.18484,0.95995,0.88636,0.94381,0.5995,1.26942,0.60929,1.29541,0.002179,0.002179,0.002179
81,353.673,1.1487,0.66438,1.20362,0.9078,0.89523,0.9379,0.59005,1.25055,0.61675,1.30425,0.00208,0.00208,0.00208
82,358.008,1.14774,0.67295,1.20673,0.89504,0.90909,0.90954,0.57016,1.3035,0.65535,1.37137,0.001981,0.001981,0.001981
83,362.232,1.1411,0.66163,1.17417,0.89766,0.90909,0.91215,0.58774,1.27524,0.63346,1.34672,0.001882,0.001882,0.001882
84,366.552,1.15265,0.67001,1.18054,0.90605,0.93182,0.93572,0.5934,1.27014,0.63608,1.3043,0.001783,0.001783,0.001783
85,370.83,1.1419,0.63882,1.20689,0.93811,0.88636,0.93271,0.63063,1.2077,0.60444,1.29341,0.001684,0.001684,0.001684
86,375.185,1.15638,0.63527,1.16972,0.95944,0.86364,0.94242,0.59042,1.30658,0.63492,1.34279,0.001585,0.001585,0.001585
87,379.512,1.12597,0.66048,1.19529,0.94653,0.93182,0.94491,0.6033,1.28466,0.60931,1.3394,0.001486,0.001486,0.001486
88,383.831,1.14885,0.64717,1.17231,0.92855,0.90909,0.94012,0.61017,1.27632,0.61293,1.36887,0.001387,0.001387,0.001387
89,388.12,1.13636,0.64073,1.17634,0.92869,0.88803,0.94273,0.59506,1.3101,0.62838,1.39908,0.001288,0.001288,0.001288
90,392.546,1.13983,0.68687,1.18264,0.92995,0.90518,0.93823,0.59607,1.29944,0.61002,1.38716,0.001189,0.001189,0.001189
91,399.622,1.13113,0.65357,1.16267,0.92895,0.89153,0.94452,0.59841,1.29344,0.61307,1.35772,0.00109,0.00109,0.00109
92,403.972,1.11224,0.60982,1.19466,0.95079,0.87835,0.9482,0.60929,1.2817,0.63942,1.34988,0.000991,0.000991,0.000991
93,408.296,1.1043,0.60543,1.17531,0.94404,0.90909,0.95275,0.62552,1.24347,0.60961,1.33297,0.000892,0.000892,0.000892
94,412.646,1.07883,0.58395,1.17562,0.94517,0.93182,0.94797,0.6068,1.25582,0.60824,1.331,0.000793,0.000793,0.000793
95,416.941,1.05992,0.56254,1.14037,0.9115,0.93639,0.94232,0.59348,1.2997,0.60234,1.3505,0.000694,0.000694,0.000694
96,421.218,1.05608,0.58118,1.1487,0.93206,0.93551,0.94314,0.60792,1.29438,0.59717,1.3519,0.000595,0.000595,0.000595
97,425.513,1.0214,0.55239,1.1041,0.94672,0.93182,0.94782,0.61092,1.26493,0.58032,1.33601,0.000496,0.000496,0.000496
98,429.869,1.08346,0.56955,1.15773,0.94725,0.93182,0.94969,0.60668,1.27025,0.58524,1.34494,0.000397,0.000397,0.000397
99,434.115,1.01985,0.55951,1.13565,0.93294,0.94862,0.94482,0.5937,1.27102,0.60228,1.34672,0.000298,0.000298,0.000298
100,438.381,1.02251,0.54941,1.13378,0.93298,0.94919,0.94262,0.5844,1.2728,0.59431,1.35633,0.000199,0.000199,0.000199
