epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,2412.64,1.12205,0.74879,1.16915,0.93165,0.86334,0.91517,0.63454,1.19062,0.57935,1.18199,0.003466,0.003466,0.003466
68,2448.78,1.12214,0.74608,1.16263,0.89921,0.86559,0.90723,0.6439,1.15778,0.55972,1.16307,0.003367,0.003367,0.003367
69,2484.93,1.11084,0.74371,1.15772,0.93975,0.85879,0.92106,0.64172,1.16528,0.56324,1.15408,0.003268,0.003268,0.003268
70,2521.1,1.10704,0.73654,1.15235,0.94945,0.84397,0.92131,0.65089,1.17214,0.54609,1.17742,0.003169,0.003169,0.003169
71,2557.35,1.09415,0.72001,1.14499,0.9318,0.85014,0.91987,0.64084,1.19226,0.55526,1.16891,0.00307,0.00307,0.00307
72,2593.61,1.09357,0.7219,1.15855,0.93361,0.85774,0.92387,0.64268,1.18786,0.55453,1.17673,0.002971,0.002971,0.002971
73,2629.78,1.08282,0.71971,1.1456,0.94327,0.84792,0.91389,0.64164,1.16839,0.5598,1.16214,0.002872,0.002872,0.002872
74,2665.94,1.08099,0.71797,1.14364,0.94377,0.85552,0.91355,0.64178,1.16384,0.56099,1.166,0.002773,0.002773,0.002773
75,2702.24,1.0909,0.71047,1.14539,0.96523,0.84694,0.91479,0.64779,1.14447,0.53784,1.15255,0.002674,0.002674,0.002674
76,2738.6,1.07858,0.70453,1.13786,0.93225,0.8357,0.91363,0.65047,1.1393,0.55,1.1576,0.002575,0.002575,0.002575
77,2774.77,1.07882,0.71435,1.14266,0.93002,0.86223,0.92168,0.65237,1.14888,0.54544,1.16481,0.002476,0.002476,0.002476
78,2811.24,1.06856,0.70025,1.13394,0.94853,0.84813,0.91656,0.65487,1.14892,0.54713,1.15762,0.002377,0.002377,0.002377
79,2847.64,1.06028,0.70121,1.13136,0.94281,0.85439,0.91866,0.64938,1.15065,0.54176,1.16942,0.002278,0.002278,0.002278
80,2883.88,1.05624,0.68886,1.12968,0.96006,0.84663,0.92433,0.65873,1.14095,0.5355,1.1651,0.002179,0.002179,0.002179
81,2920.22,1.05356,0.68571,1.12169,0.939,0.85448,0.92596,0.67099,1.12502,0.52324,1.15153,0.00208,0.00208,0.00208
82,2956.39,1.0594,0.6764,1.1284,0.91874,0.86459,0.92421,0.65544,1.1589,0.53288,1.15442,0.001981,0.001981,0.001981
83,2992.63,1.04128,0.67502,1.11834,0.95911,0.85273,0.92591,0.65908,1.11376,0.52463,1.13605,0.001882,0.001882,0.001882
84,3028.71,1.04016,0.68522,1.11975,0.95653,0.83008,0.92518,0.66373,1.13085,0.53417,1.13614,0.001783,0.001783,0.001783
85,3065.05,1.03328,0.66081,1.11714,0.9677,0.82568,0.93008,0.66078,1.12897,0.52324,1.13848,0.001684,0.001684,0.001684
86,3101.67,1.02456,0.65224,1.10912,0.93233,0.84771,0.92832,0.6697,1.12221,0.5235,1.13111,0.001585,0.001585,0.001585
87,3137.83,1.02123,0.65894,1.10879,0.93595,0.85971,0.92787,0.66901,1.12035,0.52516,1.13195,0.001486,0.001486,0.001486
